DATE,GDPC1
1970-01-01,4954.4357500000000000
1971-01-01,5117.6030000000000000
1972-01-01,5386.7330000000000000
1973-01-01,5690.8527500000000000
1974-01-01,5660.0907500000000000
1975-01-01,5648.4617500000000000
1976-01-01,5952.8090000000000000
1977-01-01,6228.0765000000000000
1978-01-01,6572.8190000000000000
1979-01-01,6780.9237500000000000
1980-01-01,6763.5137500000000000
1981-01-01,6935.1532500000000000
1982-01-01,6810.1200000000000000
1983-01-01,7122.2905000000000000
1984-01-01,7637.7040000000000000
1985-01-01,7956.1695000000000000
1986-01-01,8231.6635000000000000
1987-01-01,8516.4182500000000000
1988-01-01,8872.1542500000000000
1989-01-01,9197.9975000000000000
1990-01-01,9371.4680000000000000
1991-01-01,9361.3220000000000000
1992-01-01,9691.0687500000000000
1993-01-01,9957.7462500000000000
1994-01-01,10358.9232500000000000
1995-01-01,10636.9787500000000000
1996-01-01,11038.2660000000000000
1997-01-01,11529.1570000000000000
1998-01-01,12045.8240000000000000
1999-01-01,12623.361000000000
2000-01-01,13138.035250000000
2001-01-01,13263.417000000000
2002-01-01,13488.357000000000
2003-01-01,13865.519250000000
2004-01-01,14399.696000000000
2005-01-01,14901.269000000000
2006-01-01,15315.943250000000
2007-01-01,15623.871500000000
2008-01-01,15642.962000000000
2009-01-01,15236.262250000000
2010-01-01,15648.991000000000
2011-01-01,15891.534000000000
2012-01-01,16253.970000000000
2013-01-01,16553.347500000000
2014-01-01,16932.051750000000
2015-01-01,17390.295250000000
2016-01-01,17680.273750000000
2017-01-01,18076.651500000000
2018-01-01,18609.078250000000
2019-01-01,19036.052250000000
2020-01-01,18509.142750000000
